Week,Start Date,End Date,Phase,Meta Spend,Google Spend,Total Spend,IG Reach (Organic),Website Visits,Form Submissions,WA Queries (Total),Qualified Leads,Parent Conversations,Registrations (Rs 15K),CPL (Paid),Avg Response Time,Reels Posted,Lives Done,Best Performing Content,Notes / Pivots
1,May 7,May 13,Pre-Results,500,250,750,,,,,,,,,,,,,
2,May 14,May 20,Pre-Results,750,250,1000,,,,,,,,,,,,,
3,May 21,May 27,Pre-Results,750,250,1000,,,,,,,,,,,,,
4,May 28,Jun 3,Pre-Results,1000,250,1250,,,,,,,,,,,,,
5,Jun 4,Jun 10,Results Week,2000,750,2750,,,,,,,,,,,,,
6,Jun 11,Jun 17,Decision,2000,750,2750,,,,,,,,,,,,,
7,Jun 18,Jun 24,Peak,2000,750,2750,,,,,,,,,,,,,
8,Jun 25,Jul 1,Peak,2000,750,2750,,,,,,,,,,,,,
9,Jul 2,Jul 8,Closing,1500,500,2000,,,,,,,,,,,,,
10,Jul 9,Jul 15,Closing,1500,500,2000,,,,,,,,,,,,,
11,Jul 16,Jul 22,Closing,1500,500,2000,,,,,,,,,,,,,
12,Jul 23,Aug 7,Closing,1500,500,2000,,,,,,,,,,,,,
TOTAL,May 7,Aug 7,All,17000,6000,23000,TARGET: 5L+,,TARGET: 200+,TARGET: 750+,TARGET: 300,TARGET: 120,TARGET: 20,,<5 min,36+,12+,,
